num,length,end,level
1,90,90,LIMBO
2,27,117,LIMBO
3,66,183,LIMBO
4,22,205,LIMBO
5,40,245,LIMBO
6,34,279,LIMBO
7,35,314,LIMBO
8,21,335,LIMBO
9,48,383,LIMBO
10,19,402,LIMBO
11,25,427,LIMBO
12,24,451,LIMBO
13,15,466,LIMBO
14,56,522,LIMBO
15,110,632,LIMBO
16,43,675,LIMBO
17,31,706,LIMBO
18,56,762,LIMBO
19,51,813,LIMBO
20,73,886,LIMBO
21,45,931,LIMBO
22,32,963,LIMBO
23,66,1029,LIMBO
24,91,1120,LIMBO
25,37,1157,LIMBO
26,70,1227,LIMBO
27,56,1283,LIMBO
28,16,1299,DL2
29,51,1350,DL2
30,10,1360,DL2
31,23,1383,DL2
32,15,1398,DL2
33,8,1406,DL2
34,70,1476,DL2
35,13,1489,DL2
36,48,1537,DL2
37,49,1586,DL2
38,39,1625,DL2
39,64,1689,DL2
40,14,1703,DL2
41,125,1828,DL2
42,48,1876,DL2
43,36,1912,DL2
44,55,1967,DL2
45,28,1995,DL2
46,33,2028,DL2
47,35,2063,DL2
48,23,2086,DL2
49,30,2116,DL2
50,22,2138,DL2
51,21,2159,DL2
52,25,2184,DL2
53,17,2201,DL2
54,11,2212,DL2
55,42,2254,DL2
56,26,2280,DL1
57,36,2316,DL1
58,40,2356,DL1
59,48,2404,DL1
60,29,2433,DL1
61,36,2469,DL1
62,18,2487,DL1
63,86,2573,DL1
64,29,2602,DL1
65,15,2617,DL1
66,40,2657,DL1
67,76,2733,DL2
68,20,2753,DL2
69,28,2781,DL2
70,39,2820,DL2
71,22,2842,DL2
72,25,2867,DL2
73,21,2888,DL2
74,36,2924,DL2
75,56,2980,DL2
76,131,3111,DL2
77,11,3122,DL2
78,38,3160,DL2
79,39,3199,DL2
80,25,3224,DL2
81,27,3251,DL2
82,22,3273,DL2
83,22,3295,DL2
84,22,3317,DL2
85,14,3331,DL2
86,29,3360,DL2
87,18,3378,DL2
88,13,3391,DL2
89,15,3406,DL2
90,18,3424,DL2
91,18,3442,DL2
92,30,3472,DL2
93,30,3502,DL2
94,27,3529,DL2
95,15,3544,DL2
96,11,3555,DL2
97,8,3563,DL2
98,10,3573,DL2
99,13,3586,DL2
100,11,3597,DL2
101,16,3613,DL2
102,23,3636,DL2
103,23,3659,DL2
104,28,3687,DL2
105,16,3703,DL2
106,9,3712,DL2
107,10,3722,DL2
108,55,3777,DL2
109,29,3806,DL2
110,16,3822,DL2
111,18,3840,DL2
112,14,3854,DL2
113,52,3906,DL2
114,29,3935,DL2
115,12,3947,DL2
116,14,3961,DL2
117,12,3973,DL2
118,99,4072,DL2
119,103,4175,DL2
120,17,4192,DL2
121,31,4223,DL2
122,23,4246,DL2
123,106,4352,DL2
124,24,4376,DL2
125,18,4394,DL2
126,22,4416,DL2
127,45,4461,DL2
128,13,4474,DL2
129,26,4500,DL2
130,23,4523,DL2
131,16,4539,DL2
132,35,4574,DL2
133,42,4616,DL2
134,28,4644,DL2
135,38,4682,DL2
136,54,4736,DL2
137,20,4756,DL2
138,20,4776,DL2
139,25,4801,DL2
140,15,4816,DL2
141,44,4860,DL2
142,77,4937,DL2
143,16,4953,DL2
144,11,4964,DL2
145,11,4975,DL2
146,38,5013,DL2
147,19,5032,DL2
148,24,5056,DL2
149,8,5064,DL2
150,9,5073,DL2
151,8,5081,DL2
152,8,5089,DL2
153,9,5098,DL1
154,7,5105,DL2
155,8,5113,DL2
156,21,5134,DL2
157,13,5147,DL1
158,10,5157,DL1
159,16,5173,DL1
160,53,5226,DL1
161,9,5235,DL2
162,13,5248,DL2
163,15,5263,DL2
164,6,5269,DL2
165,10,5279,DL2
166,13,5292,DL2
167,32,5324,DL2
168,18,5342,DL2
169,70,5412,DL2
170,15,5427,DL2
171,8,5435,DL2
172,11,5446,DL2
173,11,5457,DL2
174,27,5484,DL2
175,10,5494,DL2
176,42,5536,DL2
177,25,5561,DL2
178,13,5574,DL2
179,15,5589,DL2
180,10,5599,DL2
181,22,5621,DL2
182,10,5631,DL2
183,8,5639,DL2
184,13,5652,DL2
185,33,5685,DL2
186,11,5696,DL2
187,10,5706,DL2
188,13,5719,DL2
189,10,5729,DL2
190,9,5738,DL2
191,10,5748,DL2
192,18,5766,DL2
193,11,5777,DL1
194,22,5799,DL1
195,15,5814,DL1
196,24,5838,DL1
197,29,5867,DL1
198,10,5877,DL1
199,13,5890,DL2
200,26,5916,DL2
201,16,5932,DL2
202,9,5941,DL2
203,16,5957,DL2
204,13,5970,DL1
205,13,5983,DL2
206,18,6001,DL2
207,16,6017,DL2
