num;length;end;level;newend;withpadding;sec
1;90;90;LIMBO;495;505;50,5
2;27;117;LIMBO;522;532;53,2
3;66;183;LIMBO;588;598;59,8
4;22;205;LIMBO;610;620;62
5;40;245;LIMBO;650;660;66
6;34;279;LIMBO;684;694;69,4
7;35;314;LIMBO;719;729;72,9
8;21;335;LIMBO;740;750;75
9;48;383;LIMBO;788;798;79,8
10;19;402;LIMBO;807;817;81,7
11;25;427;LIMBO;832;842;84,2
12;24;451;LIMBO;856;866;86,6
13;15;466;LIMBO;871;881;88,1
14;56;522;LIMBO;927;937;93,7
15;110;632;LIMBO;1037;1047;104,7
16;43;675;LIMBO;1080;1090;109
17;31;706;LIMBO;1111;1121;112,1
18;56;762;LIMBO;1167;1177;117,7
19;51;813;LIMBO;1218;1228;122,8
20;73;886;LIMBO;1291;1301;130,1
21;45;931;LIMBO;1336;1346;134,6
22;32;963;LIMBO;1368;1378;137,8
23;66;1029;LIMBO;1434;1444;144,4
24;91;1120;LIMBO;1525;1535;153,5
25;37;1157;LIMBO;1562;1572;157,2
26;70;1227;LIMBO;1632;1642;164,2
27;56;1283;LIMBO;1688;1698;169,8
28;16;1299;DL2;1704;1714;171,4
29;51;1350;DL2;1755;1765;176,5
30;10;1360;DL2;1765;1775;177,5
31;23;1383;DL2;1788;1798;179,8
32;15;1398;DL2;1803;1813;181,3
33;8;1406;DL2;1811;1821;182,1
34;70;1476;DL2;1881;1891;189,1
35;13;1489;DL2;1894;1904;190,4
36;48;1537;DL2;1942;1952;195,2
37;49;1586;DL2;1991;2001;200,1
38;39;1625;DL2;2030;2040;204
39;64;1689;DL2;2094;2104;210,4
40;14;1703;DL2;2108;2118;211,8
41;125;1828;DL2;2233;2243;224,3
42;48;1876;DL2;2281;2291;229,1
43;36;1912;DL2;2317;2327;232,7
44;55;1967;DL2;2372;2382;238,2
45;28;1995;DL2;2400;2410;241
46;33;2028;DL2;2433;2443;244,3
47;35;2063;DL2;2468;2478;247,8
48;23;2086;DL2;2491;2501;250,1
49;30;2116;DL2;2521;2531;253,1
50;22;2138;DL2;2543;2553;255,3
51;21;2159;DL2;2564;2574;257,4
52;25;2184;DL2;2589;2599;259,9
53;17;2201;DL2;2606;2616;261,6
54;11;2212;DL2;2617;2627;262,7
55;42;2254;DL2;2659;2669;266,9
56;26;2280;DL1;2685;2695;269,5
57;36;2316;DL1;2721;2731;273,1
58;40;2356;DL1;2761;2771;277,1
59;48;2404;DL1;2809;2819;281,9
60;29;2433;DL1;2838;2848;284,8
61;36;2469;DL1;2874;2884;288,4
62;18;2487;DL1;2892;2902;290,2
63;86;2573;DL1;2978;2988;298,8
64;29;2602;DL1;3007;3017;301,7
65;15;2617;DL1;3022;3032;303,2
66;40;2657;DL1;3062;3072;307,2
67;76;2733;DL2;3138;3148;314,8
68;20;2753;DL2;3158;3168;316,8
69;28;2781;DL2;3186;3196;319,6
70;39;2820;DL2;3225;3235;323,5
71;22;2842;DL2;3247;3257;325,7
72;25;2867;DL2;3272;3282;328,2
73;21;2888;DL2;3293;3303;330,3
74;36;2924;DL2;3329;3339;333,9
75;56;2980;DL2;3385;3395;339,5
76;131;3111;DL2;3516;3526;352,6
77;11;3122;DL2;3527;3537;353,7
78;38;3160;DL2;3565;3575;357,5
79;39;3199;DL2;3604;3614;361,4
80;25;3224;DL2;3629;3639;363,9
81;27;3251;DL2;3656;3666;366,6
82;22;3273;DL2;3678;3688;368,8
83;22;3295;DL2;3700;3710;371
84;22;3317;DL2;3722;3732;373,2
85;14;3331;DL2;3736;3746;374,6
86;29;3360;DL2;3765;3775;377,5
87;18;3378;DL2;3783;3793;379,3
88;13;3391;DL2;3796;3806;380,6
89;15;3406;DL2;3811;3821;382,1
90;18;3424;DL2;3829;3839;383,9
91;18;3442;DL2;3847;3857;385,7
92;30;3472;DL2;3877;3887;388,7
93;30;3502;DL2;3907;3917;391,7
94;27;3529;DL2;3934;3944;394,4
95;15;3544;DL2;3949;3959;395,9
96;11;3555;DL2;3960;3970;397
97;8;3563;DL2;3968;3978;397,8
98;10;3573;DL2;3978;3988;398,8
99;13;3586;DL2;3991;4001;400,1
100;11;3597;DL2;4002;4012;401,2
101;16;3613;DL2;4018;4028;402,8
102;23;3636;DL2;4041;4051;405,1
103;23;3659;DL2;4064;4074;407,4
104;28;3687;DL2;4092;4102;410,2
105;16;3703;DL2;4108;4118;411,8
106;9;3712;DL2;4117;4127;412,7
107;10;3722;DL2;4127;4137;413,7
108;55;3777;DL2;4182;4192;419,2
109;29;3806;DL2;4211;4221;422,1
110;16;3822;DL2;4227;4237;423,7
111;18;3840;DL2;4245;4255;425,5
112;14;3854;DL2;4259;4269;426,9
113;52;3906;DL2;4311;4321;432,1
114;29;3935;DL2;4340;4350;435
115;12;3947;DL2;4352;4362;436,2
116;14;3961;DL2;4366;4376;437,6
117;12;3973;DL2;4378;4388;438,8
118;99;4072;DL2;4477;4487;448,7
119;103;4175;DL2;4580;4590;459
120;17;4192;DL2;4597;4607;460,7
121;31;4223;DL2;4628;4638;463,8
122;23;4246;DL2;4651;4661;466,1
123;106;4352;DL2;4757;4767;476,7
124;24;4376;DL2;4781;4791;479,1
125;18;4394;DL2;4799;4809;480,9
126;22;4416;DL2;4821;4831;483,1
127;45;4461;DL2;4866;4876;487,6
128;13;4474;DL2;4879;4889;488,9
129;26;4500;DL2;4905;4915;491,5
130;23;4523;DL2;4928;4938;493,8
131;16;4539;DL2;4944;4954;495,4
132;35;4574;DL2;4979;4989;498,9
133;42;4616;DL2;5021;5031;503,1
134;28;4644;DL2;5049;5059;505,9
135;38;4682;DL2;5087;5097;509,7
136;54;4736;DL2;5141;5151;515,1
137;20;4756;DL2;5161;5171;517,1
138;20;4776;DL2;5181;5191;519,1
139;25;4801;DL2;5206;5216;521,6
140;15;4816;DL2;5221;5231;523,1
141;44;4860;DL2;5265;5275;527,5
142;77;4937;DL2;5342;5352;535,2
143;16;4953;DL2;5358;5368;536,8
144;11;4964;DL2;5369;5379;537,9
145;11;4975;DL2;5380;5390;539
146;38;5013;DL2;5418;5428;542,8
147;19;5032;DL2;5437;5447;544,7
148;24;5056;DL2;5461;5471;547,1
149;8;5064;DL2;5469;5479;547,9
150;9;5073;DL2;5478;5488;548,8
151;8;5081;DL2;5486;5496;549,6
152;8;5089;DL2;5494;5504;550,4
153;9;5098;DL1;5503;5513;551,3
154;7;5105;DL2;5510;5520;552
155;8;5113;DL2;5518;5528;552,8
156;21;5134;DL2;5539;5549;554,9
157;13;5147;DL1;5552;5562;556,2
158;10;5157;DL1;5562;5572;557,2
159;16;5173;DL1;5578;5588;558,8
160;53;5226;DL1;5631;5641;564,1
161;9;5235;DL2;5640;5650;565
162;13;5248;DL2;5653;5663;566,3
163;15;5263;DL2;5668;5678;567,8
164;6;5269;DL2;5674;5684;568,4
165;10;5279;DL2;5684;5694;569,4
166;13;5292;DL2;5697;5707;570,7
167;32;5324;DL2;5729;5739;573,9
168;18;5342;DL2;5747;5757;575,7
169;70;5412;DL2;5817;5827;582,7
170;15;5427;DL2;5832;5842;584,2
171;8;5435;DL2;5840;5850;585
172;11;5446;DL2;5851;5861;586,1
173;11;5457;DL2;5862;5872;587,2
174;27;5484;DL2;5889;5899;589,9
175;10;5494;DL2;5899;5909;590,9
176;42;5536;DL2;5941;5951;595,1
177;25;5561;DL2;5966;5976;597,6
178;13;5574;DL2;5979;5989;598,9
179;15;5589;DL2;5994;6004;600,4
180;10;5599;DL2;6004;6014;601,4
181;22;5621;DL2;6026;6036;603,6
182;10;5631;DL2;6036;6046;604,6
183;8;5639;DL2;6044;6054;605,4
184;13;5652;DL2;6057;6067;606,7
185;33;5685;DL2;6090;6100;610
186;11;5696;DL2;6101;6111;611,1
187;10;5706;DL2;6111;6121;612,1
188;13;5719;DL2;6124;6134;613,4
189;10;5729;DL2;6134;6144;614,4
190;9;5738;DL2;6143;6153;615,3
191;10;5748;DL2;6153;6163;616,3
192;18;5766;DL2;6171;6181;618,1
193;11;5777;DL1;6182;6192;619,2
194;22;5799;DL1;6204;6214;621,4
195;15;5814;DL1;6219;6229;622,9
