level,endtime,length
LIMBO, 1688,"90, 27, 66, 22, 40, 34, 35, 21, 48, 19, 25, 24, 15, 56, 110, 43, 31, 56, 51, 73, 45, 32, 66, 91, 37, 70, 56"
DL2, 2659,"16, 51, 10, 23, 15, 8, 70, 13, 48, 49, 39, 64, 14, 125, 48, 36, 55, 28, 33, 35, 23, 30, 22, 21, 25, 17, 11, 42"
DL1, 3062,"26, 36, 40, 48, 29, 36, 18, 86, 29, 15, 40"
DL2, 5494,"76, 20, 28, 39, 22, 25, 21, 36, 56, 131, 11, 38, 39, 25, 27, 22, 22, 22, 14, 29, 18, 13, 15, 18, 18, 30, 30, 27, 15, 11, 8, 10, 13, 11, 16, 23, 23, 28, 16, 9, 10, 55, 29, 16, 18, 14, 52, 29, 12, 14, 12, 99, 103, 17, 31, 23, 106, 24, 18, 22, 45, 13, 26, 23, 16, 35, 42, 28, 38, 54, 20, 20, 25, 15, 44, 77, 16, 11, 11, 38, 19, 24, 8, 9, 8, 8"
DL1,5503,9
DL2, 5539,"7, 8, 21"
DL1, 5631,"13, 10, 16, 53"
DL2, 6171,"9, 13, 15, 6, 10, 13, 32, 18, 70, 15, 8, 11, 11, 27, 10, 42, 25, 13, 15, 10, 22, 10, 8, 13, 33, 11, 10, 13, 10, 9, 10, 18"
DL1, 6282,"11, 22, 15, 24, 29, 10"
DL2, 6362,"13, 26, 16, 9, 16"
DL1,6375,13
DL2, 6428,"13, 18, 16, 6"
DL1, 6468,"10, 21, 9"
DL2, 6522,"33, 12, 9"
DL1, 6623,"12, 20, 18, 10, 41"
DL2, 6657,"17, 17"
DL1,6687,30
DL2, 6735,"26, 9, 13"
DL1,6783,48
DL2, 6829,"18, 28"
DL1, 7024,"60, 19, 33, 14, 69"
LIMBO,7040,16
DL1, 7527,"20, 33, 32, 64, 16, 12, 17, 15, 30, 28, 33, 20, 12, 20, 20, 29, 15, 12, 22, 26, 11"
REAL, 7824,"16, 20, 20, 23, 22, 17, 37, 14, 11, 29, 20, 16, 52"
DL1, 8460,"23, 28, 29, 21, 13, 38, 14, 12, 12, 25, 13, 21, 19, 33, 28, 26, 20, 98, 25, 12, 61, 23, 18, 24"
REAL, 8504,"23, 21"
DL1,8525,21
REAL, 8590,"21, 44"
DL1, 8771,"25, 26, 12, 62, 14, 42"
REAL,8793,22
DL1, 8829,"25, 11"
REAL, 9872,"12, 14, 12, 11, 14, 18, 17, 26, 17, 16, 13, 11, 74, 11, 33, 9, 9, 74, 58, 21, 27, 17, 51, 82, 147, 39, 33, 33, 144"
COBB,9890,18
REAL,9996,106
COBB,10015,19
REAL,10202,187
COBB,10228,26
REAL,10380,152
COBB,10399,19
REAL, 15722,"215, 47, 26, 85, 12, 37, 8, 36, 18, 29, 16, 58, 27, 101, 21, 8, 44, 13, 12, 20, 19, 19, 31, 61, 19, 14, 43, 13, 32, 15, 8, 131, 18, 17, 11, 15, 9, 13, 43, 47, 16, 27, 15, 15, 34, 9, 32, 51, 22, 19, 48, 18, 13, 51, 11, 85, 35, 17, 70, 15, 36, 123, 125, 132, 54, 47, 19, 43, 39, 132, 20, 26, 16, 64, 53, 43, 34, 21, 37, 14, 54, 44, 38, 23, 82, 26, 28, 31, 70, 64, 48, 23, 50, 16, 13, 40, 20, 28, 83, 72, 44, 24, 42, 123, 31, 41, 33, 42, 60, 74, 127, 18, 14, 28, 23, 15, 23, 20, 11, 48, 25, 28, 26, 17, 19, 24, 8, 10, 22, 11, 12, 12, 15, 14, 17, 16, 20, 86, 80, 26, 17, 13, 19"
DL1, 17004,"23, 38, 34, 61, 91, 23, 44, 14, 11, 32, 47, 35, 53, 70, 46, 19, 37, 23, 32, 30, 18, 19, 32, 27, 45, 22, 10, 13, 16, 8, 40, 29, 12, 50, 16, 17, 10, 12, 36, 22, 21, 23, 21"
REAL, 17467,"36, 22, 24, 149, 50, 61, 20, 22, 25, 9, 9, 36"
DL1, 19582,"64, 40, 238, 47, 22, 55, 53, 37, 42, 33, 119, 30, 74, 28, 23, 25, 27, 25, 22, 40, 75, 41, 37, 36, 124, 55, 18, 35, 65, 21, 96, 67, 178, 43, 40, 39, 17, 33, 18, 33"
COBB,19604,22
DL1,19619,15
COBB,19639,20
DL1, 20080,"62, 25, 37, 20, 43, 91, 34, 37, 21, 9, 9, 16, 12, 8, 8, 9"
REAL, 23957,"136, 11, 34, 16, 97, 25, 21, 17, 15, 15, 31, 17, 7, 35, 27, 40, 42, 15, 63, 48, 24, 24, 17, 63, 19, 38, 19, 16, 40, 38, 64, 13, 16, 11, 18, 9, 26, 144, 119, 21, 27, 15, 25, 34, 38, 33, 18, 62, 16, 31, 39, 131, 7, 31, 16, 12, 14, 63, 43, 10, 11, 24, 24, 22, 32, 10, 38, 21, 9, 7, 9, 9, 10, 9, 18, 7, 8, 26, 27, 19, 17, 13, 17, 17, 19, 7, 12, 19, 13, 59, 32, 28, 8, 86, 15, 28, 14, 22, 34, 14, 18, 12, 9, 18, 23, 7, 7, 9, 11, 9, 7, 10, 10, 9, 22, 18, 11, 15, 16, 11, 9, 5, 10, 11, 23, 12, 12, 13, 16, 27, 21, 11, 37, 7, 10, 9, 39, 11, 26, 16, 21, 26, 27, 15, 8, 31, 12, 20, 74, 38, 29, 46, 23"
DL1, 24842,"51, 26, 30, 21, 27, 15, 14, 126, 226, 14, 91, 19, 45, 15, 42, 22, 22, 57, 22"
REAL, 26282,"62, 23, 25, 28, 34, 19, 7, 32, 37, 35, 45, 29, 11, 19, 17, 69, 24, 26, 70, 18, 42, 36, 40, 30, 94, 11, 29, 27, 112, 38, 21, 53, 21, 48, 113, 40, 55"
COBB, 26397,"17, 22, 15, 16, 10, 13, 22"
REAL, 26561,"45, 18, 36, 34, 16, 15"
COBB,26577,16
REAL, 30812,"16, 12, 9, 54, 21, 7, 51, 34, 27, 21, 19, 206, 59, 16, 30, 26, 11, 53, 33, 30, 27, 33, 27, 17, 33, 38, 32, 115, 38, 179, 25, 89, 34, 10, 64, 21, 16, 26, 42, 22, 21, 57, 66, 42, 96, 27, 49, 20, 55, 56, 20, 45, 35, 37, 30, 50, 42, 37, 22, 25, 28, 58, 28, 15, 14, 19, 54, 50, 19, 29, 17, 16, 16, 41, 123, 16, 22, 43, 39, 38, 50, 35, 25, 16, 12, 25, 13, 11, 43, 27, 44, 55, 47, 83, 77, 25, 17, 12, 13, 13, 57, 30, 23, 57, 69, 15, 98, 40, 33, 30"
DL1, 30956,"47, 70, 27"
REAL, 32836,"39, 13, 58, 27, 32, 25, 23, 44, 16, 34, 33, 13, 68, 49, 41, 44, 22, 25, 16, 61, 12, 30, 41, 38, 32, 60, 18, 20, 18, 42, 32, 91, 53, 50, 20, 13, 25, 18, 11, 11, 30, 10, 22, 87, 16, 15, 19, 50, 32, 26, 21, 33, 36, 75, 28, 28, 34"
COBB, 36281,"55, 37, 53, 47, 61, 32, 78, 91, 29, 27, 10, 23, 40, 78, 24, 45, 35, 23, 32, 16, 26, 31, 27, 44, 27, 36, 16, 13, 19, 43, 25, 14, 29, 27, 38, 27, 20, 19, 8, 11, 34, 21, 111, 108, 17, 23, 17, 48, 69, 46, 21, 21, 29, 24, 20, 26, 59, 23, 36, 16, 43, 11, 10, 10, 7, 22, 10, 33, 38, 35, 11, 44, 34, 23, 27, 65, 17, 10, 13, 19, 18, 20, 58, 17, 34, 30, 57, 17, 24, 22, 27, 15, 91, 35, 29, 21, 19, 13, 18, 15, 26, 13, 36, 15, 11, 8, 8, 7, 7, 7, 7, 5, 11, 10, 6, 7, 9, 32, 17, 11, 11, 14"
REAL, 38514,"54, 37, 70, 25, 24, 22, 11, 45, 39, 20, 11, 19, 34, 16, 13, 19, 34, 75, 11, 21, 41, 123, 34, 42, 74, 38, 31, 53, 21, 29, 25, 45, 58, 24, 11, 12, 112, 41, 57, 106, 9, 164, 62, 89, 39, 27, 29, 29, 43, 20, 16, 18, 24, 18, 13, 7, 26, 23"
DL1, 45856,"123, 24, 23, 13, 21, 35, 16, 22, 16, 11, 16, 171, 37, 39, 62, 12, 12, 10, 8, 11, 21, 13, 12, 9, 49, 11, 19, 10, 10, 23, 18, 37, 43, 18, 11, 13, 9, 31, 8, 25, 7, 6, 11, 13, 10, 6, 26, 19, 35, 13, 16, 13, 14, 10, 19, 8, 10, 12, 10, 10, 9, 12, 11, 17, 10, 9, 7, 6, 8, 8, 9, 9, 7, 9, 7, 9, 12, 15, 6, 33, 9, 6, 16, 7, 9, 11, 8, 7, 6, 8, 9, 9, 6, 11, 11, 10, 11, 10, 8, 10, 15, 9, 33, 7, 53, 14, 48, 34, 76, 30, 40, 77, 29, 64, 9, 38, 36, 28, 108, 15, 33, 176, 19, 8, 138, 33, 46, 23, 15, 32, 22, 76, 66, 80, 22, 10, 17, 83, 71, 25, 70, 66, 64, 17, 66, 31, 9, 11, 98, 43, 58, 46, 29, 17, 28, 22, 27, 28, 41, 43, 19, 41, 38, 35, 37, 23, 15, 23, 12, 114, 29, 26, 15, 37, 49, 70, 193, 10, 41, 19, 43, 74, 22, 42, 18, 62, 24, 28, 15, 21, 13, 12, 31, 77, 41, 50, 24, 30, 17, 25, 109, 36, 29, 19, 45, 16, 24, 46, 21, 31, 26, 28, 41, 41, 32, 93, 46, 38, 240, 36, 14, 13, 46, 27, 25, 27, 22, 27, 18, 21, 20, 188, 30, 45"
COBB, 45949,"18, 25, 50"
DL1,45983,34
COBB, 46062,"47, 32"
DL1, 46213,"18, 40, 75, 18"
COBB, 46269,"17, 39"
DL1, 46318,"34, 15"
COBB, 46484,"17, 25, 21, 23, 15, 18, 47"
DL1, 46586,"37, 22, 43"
COBB, 46699,"31, 49, 33"
DL1,46728,29
COBB, 46843,"34, 81"
DL1,46986,143
COBB, 47219,"65, 13, 64, 14, 19, 13, 17, 28"
DL1,47303,84
COBB, 48774,"41, 26, 33, 16, 15, 17, 10, 22, 27, 14, 16, 16, 24, 26, 31, 27, 38, 32, 143, 47, 5, 8, 26, 42, 53, 28, 46, 23, 54, 42, 17, 19, 62, 20, 81, 22, 15, 17, 9, 44, 18, 25, 23, 18, 11, 9, 11, 15, 11, 32, 7, 7, 9, 21"
DL1, 48855,"15, 21, 30, 15"
COBB, 49088,"27, 21, 12, 18, 11, 12, 7, 26, 14, 12, 12, 40, 21"
DL1, 51277,"22, 25, 19, 35, 38, 53, 44, 57, 19, 20, 10, 8, 13, 147, 27, 61, 18, 56, 19, 38, 14, 73, 139, 18, 37, 10, 22, 6, 26, 16, 10, 7, 25, 10, 11, 18, 6, 11, 30, 12, 52, 7, 34, 9, 16, 27, 99, 8, 27, 48, 45, 22, 18, 74, 21, 12, 20, 10, 10, 12, 54, 24, 37, 22, 12, 33, 41, 17, 36, 13, 15, 20, 12, 10, 7, 9, 15, 6, 5"
